a,b
1543.97000,0.32514
1543.97500,0.32909
1543.98000,0.32777
1543.98500,0.32383
1543.99000,0.31594
1543.99500,0.30706
1544.00000,0.29620
1544.00500,0.28995
1544.01000,0.28995
1544.01500,0.29653
1544.02000,0.30179
1544.02500,0.30607
1544.03000,0.30541
1544.03500,0.29785
1544.04000,0.28370
1544.04500,0.26463
1544.05000,0.25016
1544.05500,0.24194
1544.06000,0.23306
1544.06500,0.21990
1544.07000,0.19721
1544.07500,0.16991
1544.08000,0.13209
1544.08500,0.09098
1544.09000,0.06138
1544.09500,0.06105
1544.10000,0.08407
1544.10500,0.11729
1544.11000,0.14722
1544.11500,0.17649
1544.12000,0.19754
1544.12500,0.21595
1544.13000,0.23470
1544.13500,0.25575
1544.14000,0.27548
1544.14500,0.28403
1544.15000,0.28239
1544.15500,0.27647
1544.16000,0.27515
1544.16500,0.27811
1544.17000,0.27844
1544.17500,0.28601
1544.18000,0.29620
1544.18500,0.30903
1544.19000,0.31462
1544.19500,0.31561
1544.20000,0.31232
1544.20500,0.30706
1544.21000,0.30015
1544.21500,0.29423
1544.22000,0.29456
1544.22500,0.30081
1544.23000,0.30903
1544.23500,0.31758
1544.24000,0.32185
1544.24500,0.32284
1544.25000,0.32087
1544.25500,0.31363
1544.26000,0.30508
1544.26500,0.29883
1544.27000,0.29752
1544.27500,0.30015
1544.28000,0.30706
1544.28500,0.31199
1544.29000,0.31758
1544.29500,0.32120
1544.30000,0.31758
1544.30500,0.30640
1544.31000,0.29554
1544.31500,0.28864
1544.32000,0.28732
1544.32500,0.29028
1544.33000,0.29390
1544.33500,0.30278
1544.34000,0.31199
1544.34500,0.31758
1544.35000,0.31396
1544.35500,0.30344
1544.36000,0.29489
1544.36500,0.29028
1544.37000,0.28798
1544.37500,0.28930
1544.38000,0.29226
1544.38500,0.29456
1544.39000,0.29324
1544.39500,0.28042
1544.40000,0.25904
1544.40500,0.24029
1544.41000,0.22352
1544.41500,0.20971
1544.42000,0.19228
1544.42500,0.16070
1544.43000,0.11630
1544.43500,0.07388
1544.44000,0.05941
1544.44500,0.06730
1544.45000,0.08736
1544.45500,0.10841
1544.46000,0.13209
1544.46500,0.15643
1544.47000,0.17945
1544.47500,0.19458
1544.48000,0.19984
1544.48500,0.20740
1544.49000,0.21431
1544.49500,0.22253
1544.50000,0.23108
1544.50500,0.23865
1544.51000,0.24687
1544.51500,0.25213
1544.52000,0.25115
1544.52500,0.24753
1544.53000,0.24194
1544.53500,0.23898
1544.54000,0.23931
