표 1
a,b,,,, - Count 1, - Count 1, - Count 2,,
0.00000194,0.960086460527461,,,,96,3791,2824,0.146182917611489,0.960086460527461
0.00000196,0.95243806546668,,,,97,3831,2868,0.143752798925213,0.95243806546668
0.00000198,0.896220189357161,,,,98,3555,2760,0.125890736342043,0.896220189357161
0.000002,0.871816442171247,,,,99,3625,2859,0.118136952498458,0.871816442171247
0.00000202,0.885417738949037,,,,100,3616,2827,0.122458482073568,0.885417738949037
0.00000204,0.995819267132833,,,,101,3909,2845,0.157536274800118,0.995819267132833
0.00000206,0.922029985508555,,,,102,3641,2780,0.13409126304314,0.922029985508555
0.00000208,0.923382147774106,,,,103,3694,2818,0.134520884520885,0.923382147774106
0.0000021,0.87140012555349,,,,104,3586,2829,0.118004676539361,0.87140012555349
0.00000212,0.891416012216688,,,,105,3648,2841,0.124364308830328,0.891416012216688
0.00000214,0.898420834043942,,,,106,3720,2884,0.126589945487583,0.898420834043942
0.00000216,0.973975536314962,,,,107,3717,2744,0.150595882990249,0.973975536314962
0.00000218,0.873445729556288,,,,108,3592,2830,0.118654624727499,0.873445729556288
0.0000022,0.933573451504443,,,,109,3762,2851,0.137758959624981,0.933573451504443
0.00000222,0.925758980068525,,,,110,3701,2819,0.135276073619632,0.925758980068525
0.00000224,0.868624112390176,,,,111,3634,2872,0.117122656009837,0.868624112390176
0.00000226,0.695483612513345,,,,112,3497,3088,0.0621108580106302,0.695483612513345
0.00000228,0.668607176266204,,,,113,3363,3021,0.0535714285714286,0.668607176266204
0.0000023,0.648574037591021,,,,114,3383,3078,0.0472063148119486,0.648574037591021
0.00000232,0.62625697837649,,,,115,3241,2991,0.0401155327342747,0.62625697837649
0.00000234,0.57197850214873,,,,116,3265,3119,0.0228696741854637,0.57197850214873
0.00000236,0.677711235459843,,,,117,3424,3058,0.0564640543042271,0.677711235459843
0.00000238,0.626693527928842,,,,118,3437,3171,0.0402542372881356,0.626693527928842
0.0000024,0.613186643709265,,,,119,3500,3257,0.0359627053426077,0.613186643709265
0.00000242,0.692296506264936,,,,120,3430,3035,0.0610982211910286,0.692296506264936
0.00000244,0.73359870236515,,,,121,3517,3031,0.0742211362248015,0.73359870236515
0.00000246,0.747908077654725,,,,122,3554,3035,0.0787676430414327,0.747908077654725
0.00000248,0.855636342305208,,,,123,3674,2928,0.112996061799455,0.855636342305208
0.0000025,0.827282574153728,,,,124,3461,2809,0.103987240829346,0.827282574153728
0.00000252,0.80344030973587,,,,125,3514,2896,0.096411856474259,0.80344030973587
0.00000254,0.860577580881445,,,,126,3692,2933,0.114566037735849,0.860577580881445
0.00000256,0.91293787989458,,,,127,3716,2854,0.131202435312024,0.91293787989458
0.00000258,0.868624414975743,,,,128,3572,2823,0.117122752150117,0.868624414975743
0.0000026,0.919612846746755,,,,129,3753,2870,0.13332326740148,0.919612846746755
0.00000262,0.876220116176507,,,,130,3765,2961,0.119536128456735,0.876220116176507
0.00000264,0.83648959533948,,,,131,3691,2978,0.106912580596791,0.83648959533948
0.00000266,0.883702750926794,,,,132,3635,2845,0.121913580246914,0.883702750926794
0.00000268,0.851296956472638,,,,133,3660,2925,0.111617312072893,0.851296956472638
0.0000027,0.89353972578545,,,,134,3599,2799,0.125039074710847,0.89353972578545
0.00000272,0.938783288082642,,,,135,3735,2821,0.13941427699817,0.938783288082642
