Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
404,404,0,1,1,0,02,6,10174
405,405,0,1,1,0,02,6,10175
406,406,0,1,1,0,02,6,10176
407,407,0,1,1,0,02,6,10177
408,408,0,1,1,1,02,6,10178
409,409,0,1,1,1,02,6,10179
410,410,0,1,1,1,02,6,10180
411,411,0,1,1,1,02,6,10181
412,412,0,1,1,1,02,6,10182
413,413,0,1,1,1,02,6,10183
414,414,0,1,1,1,02,6,10184
415,415,0,1,1,1,02,6,10185
416,416,0,1,1,1,02,6,10186
417,417,0,1,1,1,02,6,10187
418,418,0,1,1,1,02,6,10188
419,419,0,1,1,1,02,6,10189
420,420,0,1,1,1,02,6,10190
421,421,0,1,1,1,02,6,10191
422,422,0,1,1,1,02,6,10192
423,423,0,1,1,1,02,6,10193
424,424,0,1,1,1,02,6,10194
425,425,0,1,1,1,02,6,10195
426,426,0,1,1,1,02,6,10196
427,427,0,1,1,1,02,6,10197
428,428,0,1,1,1,02,6,10198
429,429,0,1,1,1,02,6,10199
430,430,0,1,1,1,02,6,10200
431,431,0,1,1,1,02,6,10201
432,432,0,1,1,1,02,6,10202
433,433,0,1,1,1,02,6,10203
434,434,0,1,1,1,02,6,10204
435,435,0,1,1,1,02,6,10205
436,436,0,1,1,1,02,6,10206
437,437,0,1,1,1,02,6,10207
438,438,0,1,1,1,02,6,10208
439,439,0,1,1,1,02,6,10209
440,440,0,1,1,1,02,6,10210
441,441,0,1,1,1,02,6,10211
442,442,0,1,1,1,02,6,10212
443,443,0,1,1,1,02,6,10213
444,444,0,1,1,1,02,6,10214
445,445,0,1,1,1,02,6,10215
446,446,0,1,1,1,02,6,10216
447,447,0,1,1,1,02,6,10217
448,448,0,1,1,1,02,6,10218
449,449,0,1,1,1,02,6,10219
450,450,0,1,1,1,02,6,10220
451,451,0,1,1,1,02,6,10221
452,452,0,1,1,1,02,6,10222
453,453,0,1,1,1,02,6,10223
454,454,0,1,1,1,02,6,10221
455,455,0,1,1,1,02,6,10224
456,456,0,1,1,0,02,6,10225
457,457,0,1,1,0,02,6,10226
458,458,0,1,1,0,02,6,10227
459,459,0,1,1,0,02,6,10228
460,460,0,1,1,0,02,6,10229
461,461,0,1,1,0,02,6,10230
462,462,0,1,1,0,02,6,10231
463,463,0,1,1,0,02,6,10232
464,464,0,1,1,0,02,6,10233
465,465,0,1,1,0,02,6,10234
466,466,0,1,1,0,02,6,10235
467,467,0,1,1,0,02,6,10236
468,468,0,1,1,0,02,6,10237
469,469,0,1,1,0,02,6,10238
470,470,0,1,1,0,02,6,10239
471,471,0,1,1,0,02,6,10240
472,472,0,1,1,0,02,6,10241
473,473,0,1,1,0,02,6,10242
474,474,0,1,1,0,02,6,10243
475,475,0,1,1,0,02,6,10244
476,476,0,1,1,0,02,6,10245
477,477,0,1,1,0,02,6,10246
478,478,0,1,1,0,02,6,10247
479,479,0,1,1,0,02,6,10248
480,480,0,1,1,0,02,6,10249
481,481,0,1,1,0,02,6,10250
482,482,0,1,1,0,02,6,10251
483,483,0,1,1,0,02,6,10252
484,484,0,1,1,0,02,6,10253
485,485,0,1,1,0,02,6,10254
486,486,0,1,1,0,02,6,10255
487,487,0,1,1,0,02,6,10256
488,488,0,1,1,0,02,6,10257
489,489,0,1,1,0,02,6,10258
490,490,0,1,1,0,02,6,10259
491,491,0,1,1,0,02,6,10260
492,492,0,1,1,0,02,6,10261
493,493,0,1,1,0,02,6,10262
494,494,0,1,1,0,02,6,10263
495,495,0,1,1,0,02,6,10264
496,496,0,1,1,0,02,6,10265
497,497,0,1,1,0,02,6,10266
498,498,0,1,1,0,02,6,10267
499,499,0,1,1,0,02,6,10268
500,500,0,1,1,0,02,6,10269
501,501,0,1,1,0,02,6,10270
502,502,0,1,1,0,02,6,10271
503,503,0,1,1,0,02,6,10272
504,504,0,1,1,0,02,6,10273
505,505,0,1,1,0,02,6,10274
506,506,0,1,1,1,02,6,10275
507,507,0,1,1,1,02,6,10276
508,508,0,1,1,1,02,6,10277
509,509,0,1,1,1,02,6,10278
510,510,0,1,1,1,02,6,10279
511,511,0,1,1,1,02,6,10280
